index,price
3766,1593649.19451
3767,1283116.67887
3768,1583069.85213
3769,616692.92216
3770,2361587.30896
3771,903096.247626
3772,2881951.40559
3773,3553762.20369
3774,3041377.07541
3775,1241218.81338
3776,681484.614015
3777,3102742.96891
3778,814899.769023
3779,1607465.72903
3780,2105811.64906
3781,1354394.13138
3782,2429033.72878
3783,2712086.80387
3784,1240003.1457
3785,978843.511898
3786,807431.930407
3787,824668.886271
3788,3451007.25477
3789,2210429.17644
3790,2376612.7506
3791,1865374.88822
3792,1409633.54883
3793,2708991.36034
3794,1829673.66635
3795,1881062.37117
3796,1489471.84255
3797,8492097.41173
3798,2181003.86181
3799,1218972.95022
3800,2035322.53305
3801,808686.752679
3802,1611563.04253
3803,4970710.00398
3804,1410479.75681
3805,1334393.78621
3806,798217.558772
3807,921672.371632
3808,1907550.87499
3809,1242451.82551
3810,1657595.17022
3811,869420.689557
3812,2198294.94859
3813,2148091.90221
3814,2738324.30018
3815,1934536.07872
3816,956604.857122
3817,1250348.75033
3818,2647911.97106
3819,2877352.546
3820,748421.333696
3821,2865297.5983
3822,975267.078531
3823,940165.303138
3824,2932222.59139
3825,2858656.13523
3826,4015660.67732
3827,5587761.45165
3828,2252590.08296
3829,5124411.86841
3830,3920087.75965
3831,1004994.41886
3832,4946807.31679
3833,5017118.28619
3834,2317664.60563
3835,1316032.54841
3836,2028516.09575
3837,4038409.8546
3838,1045273.254
3839,1622177.5336
3840,4735406.26527
3841,2966790.07073
3842,2846385.09048
3843,674558.062606
3844,963582.712654
3845,2148288.80424
3846,4790075.28983
3847,3213422.82966
3848,1253430.53776
3849,1934799.00683
3850,1138763.28608
3851,1863331.47835
3852,4521431.71358
3853,3405609.92594
3854,1148463.16783
3855,3040196.61833
3856,993189.076984
3857,1932459.04481
3858,1602239.26307
3859,1324195.14198
3860,1071482.09922
3861,1091934.90082
3862,1854896.60082
3863,853682.707389
3864,874811.108657
3865,2246493.63377
3866,2601863.74171
3867,2926982.48195
3868,753371.189011
3869,1124810.42781
3870,1671498.86164
3871,3786327.04471
3872,1141789.92385
3873,811860.344463
3874,6177699.67166
3875,1144004.00144
3876,25854010.4921
3877,2186994.49497
3878,1437541.18805
3879,1073845.57094
3880,2961784.17236
3881,1009095.10701
3882,1697478.91727
3883,2722078.34207
3884,2987304.38472
3885,682594.931684
3886,1897192.60629
3887,1679204.31131
3888,5429712.8953
3889,727549.614902
3890,5808863.36979
3891,1495044.1382
3892,1174887.00197
3893,2240570.15727
3894,1001697.11542
3895,1651415.97095
3896,1886904.09957
3897,1248508.46482
3898,1109136.19796
3899,2218628.56112
3900,2552226.01307
3901,1904922.36361
3902,2740951.49403
3903,1214586.3718
3904,2066192.68075
3905,850303.359429
3906,1690234.59972
3907,2431188.11187
3908,1719394.22095
3909,1186450.48561
3910,1860374.60467
3911,1514061.56275
3912,1036767.87051
3913,1890550.09484
3914,965435.456618
3915,3026010.81476
3916,1038754.99424
3917,853906.600071
3918,3165471.85955
3919,1677004.98182
3920,1169566.52433
3921,1327618.78225
3922,1728374.77363
3923,732360.067707
3924,675691.004089
3925,2421151.18278
3926,871110.985793
3927,2219770.64139
3928,1583508.63076
3929,1198232.1939
3930,1568851.8574
